address,agricultural_area_burned,airplanes_cl215,airplanes_cl415,airplanes_gru,airplanes_pzl,army,crop_residue_area_burned,dumping_ground_area_burned,end_time,firefighters,fire_station,fire_trucks,forest_area_burned,forestry,grove_area_burned,helicopters,local_authorities_vehicles,location,low_vegetation_area_burned,machinery,municipality,other_firefighters,prefecture,start_time,swamp_area_burned,volunteers,water_tank_trucks,wildland_crew,woodland_area_burned
ΑΓΡ. ΠΕΡ. ΤΕΡΠΥΛΛΟΥ,0.0,0,0,0,0,0,10.0,0.0,2018-11-08 19:46:00,4,Π.Υ. ΚΙΛΚΙΣ,2,0.0,ΚΙΛΚΙΣ,0.0,0,0,ΤΕΡΠΥΛΛΟΣ,20.0,0,Δ. ΚΙΛΚΙΣ,0,ΚΙΛΚΙΣ,2018-11-08 17:58:00,0.0,0,0,0,0.0
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΝΕΑΣ ΠΕΛΛΑΣ,0.0,0,0,0,0,0,0.4,0.0,2018-11-08 01:50:00,2,Π.Υ. ΓΙΑΝΝΙΤΣΩΝ,1,0.0,ΕΔΕΣΣΑΣ,0.0,0,0,,0.0,0,Δ. ΠΕΛΛΑΣ,0,ΠΕΛΛΑΣ,2018-11-08 00:59:00,0.0,0,0,0,0.0
ΑΓΡ. ΠΕΡ. ΚΟΥΦΑΛΙΩΝ,0.0,0,0,0,0,0,0.0,0.0,2018-11-08 18:02:00,2,Π.Υ. ΓΙΑΝΝΙΤΣΩΝ,1,0.0,ΘΕΣΣΑΛΟΝΙΚΗΣ,0.0,0,0,ΚΟΥΦΑΛΙΑ,0.2,0,Δ. ΧΑΛΚΗΔΟΝΟΣ,0,ΘΕΣΣΑΛΟΝΙΚΗΣ,2018-11-08 16:20:00,0.0,0,0,0,0.0
ΑΓΡ. ΠΕΡ. ΠΕΛΛΑΣ,0.0,0,0,0,0,0,0.0,0.0,2018-11-08 17:51:00,2,Π.Υ. ΓΙΑΝΝΙΤΣΩΝ,1,0.0,ΕΔΕΣΣΗΣ,0.0,0,0,ΠΕΛΛΑ,0.0,0,Δ. ΠΕΛΛΑΣ,0,ΠΕΛΛΑΣ,2018-11-08 17:20:00,0.2,0,0,0,0.0
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΚΑΨΟΧΩΡΙΟΥ,0.0,0,0,0,0,0,0.0,0.0,2018-11-08 17:33:00,6,Π.Υ. ΑΛΕΞΑΝΔΡΕΙΑΣ,3,0.0,ΒΕΡΟΙΑΣ,0.0,0,0,,2.0,0,Δ. ΑΛΕΞΑΝΔΡΕΙΑΣ,0,ΗΜΑΘΙΑΣ,2018-11-08 14:26:00,2.0,0,0,0,0.0
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΛΕΙΑΝΟΒΕΡΓΕΙΟΥ,0.0,0,0,0,0,0,0.0,0.0,2018-11-08 17:29:00,2,Π.Υ. ΑΛΕΞΑΝΔΡΕΙΑΣ,1,0.0,ΒΕΡΟΙΑΣ,0.0,0,0,,0.0,0,Δ. ΑΛΕΞΑΝΔΡΕΙΑΣ,0,ΗΜΑΘΙΑΣ,2018-11-08 16:09:00,2.0,0,0,0,0.0
18ο χλμ. Π.Ε.Ο. Κατερινης-Θεσσαλονικης,0.0,0,0,0,0,0,0.0,0.0,2018-11-08 18:27:00,2,Π.Υ. ΚΑΤΕΡΙΝΗΣ,1,0.0,Πιεριας,0.0,0,0,,0.1,0,Δ. ΠΥΔΝΑΣ-ΚΟΛΙΝΔΡΟΥ,0,ΠΙΕΡΙΑΣ,2018-11-08 17:59:00,0.0,0,0,0,0.0
ΝΕΡΑΙΔΑ,0.0,0,0,0,0,0,0.0,0.0,2018-11-08 19:05:00,4,Π.Κ. ΣΕΡΒΙΩΝ,2,0.0,ΚΟΖΑΝΗΣ,0.0,0,0,,30.0,0,Δ. ΣΕΡΒΙΩΝ - ΒΕΛΒΕΝΤΟΥ,0,ΚΟΖΑΝΗΣ,2018-11-08 16:44:00,0.0,0,0,0,0.0
Τ.Κ ΠΕΡΑΣΜΑΤΟΣ,10.0,0,0,0,0,0,10.0,0.0,2018-11-08 15:25:00,3,Π.Υ. ΦΛΩΡΙΝΑΣ,1,0.0,ΔΝΣΗ ΔΑΣΩΝ ΦΛΩΡΙΝΑΣ,0.0,0,0,,20.0,0,Δ. ΦΛΩΡΙΝΑΣ,0,ΦΛΩΡΙΝΑΣ,2018-11-08 13:24:00,0.0,0,0,0,0.0
Τ.Κ ΚΑΛΛΙΝΙΚΗΣ,0.0,0,0,0,0,0,10.0,0.0,2018-11-08 18:20:00,3,Π.Υ. ΦΛΩΡΙΝΑΣ,1,0.0,ΔΝΣΗ ΔΑΣΩΝ ΦΛΩΡΙΝΑΣ,0.0,0,0,,0.0,0,Δ. ΦΛΩΡΙΝΑΣ,0,ΦΛΩΡΙΝΑΣ,2018-11-08 17:34:00,0.0,0,0,0,0.0
